participant_id,Age,Gender,Education,Interest,Salary Scale
1,19,Male,0,Unknown,Low_2
2,27,Female,0,Sports,Medium_6
3,21,Female,0,Unknown,Low_2
4,28,Male,0,Others,Low_3
5,36,Female,1,Technology,Low_2
6,25,Male,0,Others,Low_2
7,26,Female,1,Unknown,Low_5
8,27,Female,0,Sports,Medium_5
9,29,Male,0,Others,High_5
10,24,Female,0,Technology,Low_3
11,20,Male,0,Unknown,Low_2
12,29,Female,1,Arts,High_5
13,24,Male,1,Technology,Low_2
14,21,Male,1,Others,Low_2
15,23,Male,1,Unknown,Low_2
16,20,Male,1,Sports,Low_5
17,34,Female,0,Unknown,High_4
18,25,Male,1,Technology,Low_2
19,22,Male,0,Unknown,Low_5
20,22,Male,0,Others,Low_2
21,22,Male,0,Others,High_5
22,23,Male,1,Others,Low_2
23,35,Male,1,Technology,Low_5
24,23,Male,1,Arts,High_5
25,25,Male,1,Unknown,Low_5
26,24,Male,0,Sports,High_5
27,31,Male,0,Others,Low_5
28,21,Female,0,Unknown,Low_2
29,25,Female,1,Sports,Low_5
30,27,Male,0,Unknown,Low_5
31,28,Male,0,Arts,Low_3
32,30,Female,1,Unknown,Low_5
33,21,Female,0,Unknown,High_5
34,26,Female,1,Arts,Medium_4
35,26,Male,1,Arts,Low_5
36,22,Male,1,Sports,Low_5
37,22,Male,0,Sports,High_3
38,27,Female,0,Sports,Low_1
39,29,Female,0,Unknown,High_3
40,34,Male,0,Arts,Low_5
41,24,Male,0,Others,High_5
42,27,Male,0,Unknown,Low_3
43,22,Male,1,Arts,High_5
44,28,Male,1,Others,High_4
45,31,Female,0,Sports,High_5
46,22,Male,0,Unknown,Low_5
47,38,Male,0,Arts,Low_3
48,26,Male,0,Technology,Low_4
49,21,Male,0,Unknown,Low_2
50,27,Male,0,Others,Low_3
51,32,Female,1,Unknown,High_5
52,30,Female,0,Arts,Low_5
53,25,Male,0,Arts,Low_5
54,24,Male,0,Others,Medium_5
55,24,Female,1,Others,Low_2
56,29,Male,1,Unknown,Low_3
57,39,Male,1,Others,Low_2
58,20,Female,0,Technology,High_3
59,30,Male,0,Others,Low_3
60,27,Male,0,Sports,Low_2
61,23,Male,1,Unknown,Medium_6
62,28,Female,0,Unknown,Low_2
63,27,Female,0,Unknown,Low_2
64,25,Male,1,Arts,Low_2
65,22,Male,0,Unknown,High_2
66,27,Female,0,Unknown,High_2
67,28,Male,1,Arts,Low_5
68,47,Female,0,Unknown,Medium_6
69,23,Female,1,Sports,Low_3
70,30,Female,1,Unknown,Low_2
71,26,Female,1,Arts,High_5
72,21,Male,0,Arts,Low_2
73,22,Female,1,Technology,High_5
74,30,Male,0,Others,Low_2
75,47,Female,0,Unknown,Low_5
76,26,Male,0,Others,High_5
77,23,Female,0,Sports,Low_2
78,24,Female,0,Sports,Low_2
79,27,Female,0,Unknown,Low_2
80,30,Female,1,Technology,Low_2
81,30,Male,0,Unknown,Low_4
82,22,Male,1,Unknown,Low_3
83,28,Male,0,Unknown,Low_5
84,27,Male,1,Others,High_4
85,26,Male,1,Unknown,Low_3
86,36,Male,1,Unknown,High_4
87,29,Male,0,Others,Medium_5
88,25,Female,0,Arts,Low_2
89,23,Female,1,Others,Low_2
90,24,Female,1,Technology,Low_3
91,21,Male,0,Unknown,Low_3
92,28,Female,1,Unknown,Low_3
93,20,Male,1,Unknown,Low_5
94,29,Male,0,Unknown,Low_2
95,27,Male,0,Technology,Low_2
96,22,Male,1,Unknown,Low_2
97,22,Female,1,Arts,Low_3
98,23,Female,0,Sports,High_3
99,27,Male,0,Technology,Medium_4
100,22,Male,1,Technology,High_5
101,25,Male,0,Arts,High_5
102,34,Male,0,Unknown,Low_3
103,24,Male,1,Unknown,High_5
104,26,Male,0,Sports,Low_1
105,25,Male,0,Technology,Low_2
106,20,Male,1,Arts,High_5
107,22,Male,0,Unknown,Low_2
108,26,Male,1,Sports,High_5
109,36,Female,0,Arts,Low_4
110,23,Female,0,Technology,Low_2
111,27,Female,0,Technology,High_2
112,30,Male,0,Sports,Low_5
113,24,Male,0,Unknown,Low_3
114,24,Male,1,Sports,High_5
